;x;y;diameter;intensity ratio, local;intensity ratio, overall;CV;state;Cell;z;cellID
17;28;34;4;1.074703565;1.657224615;0.458975493;nonpunctate;1;0;10
18;23;30;4;1.038626117;1.859292966;0.263298685;nonpunctate;1;0;10
19;42;23;4;1.013820505;1.909655971;0.14808741;nonpunctate;1;0;10
0;45;15;4;2.789901558;7.883214139;0.266554672;category 1;1;2;11
1;45;40;4;2.61770058;12.67696914;0.25809741;category 1;1;2;11
2;26;20;4;2.425332419;7.3895422;0.213726655;category 1;1;2;11
3;51;25;4;2.417762574;11.95550644;0.226051956;category 1;1;2;11
4;39;13;4;2.322049532;6.30860113;0.239425036;category 1;1;2;11
5;37;45;4;2.212433823;10.5247349;0.222246737;category 1;1;2;11
6;21;33;4;2.0407452;5.380272349;0.240093808;category 2;1;2;11
7;31;16;4;1.927310628;4.788367212;0.303315121;category 2;1;2;11
8;22;28;4;1.916465683;3.916171688;0.413566378;category 2;1;2;11
9;32;45;4;1.612213347;6.271888978;0.2230204;category 3;1;2;11
10;27;44;4;1.57106021;3.486276149;0.182254996;category 3;1;2;11
11;49;20;4;1.311970302;4.693892938;0.487116341;category 3;1;2;11
12;40;29;4;1.251231744;1.187945089;0.118150538;nonpunctate;1;2;11
13;42;45;4;1.21397994;5.697024294;0.607564032;nonpunctate;1;2;11
14;49;31;4;1.098781043;2.721961726;0.201646054;nonpunctate;1;2;11
15;42;23;4;1.063476271;1.339304405;0.155946807;nonpunctate;1;2;11
0;45;14;4;2.851027749;9.698307004;0.248528804;category 1;1;3;12
1;22;30;4;2.560894022;7.15865968;0.189440041;category 1;1;3;12
2;39;13;4;2.499792653;8.132537738;0.217806729;category 1;1;3;12
3;46;39;4;2.271130947;12.26265717;0.216233749;category 1;1;3;12
4;51;24;4;2.241682609;13.13702605;0.177682339;category 1;1;3;12
5;26;19;4;2.218512574;8.6803267;0.21174156;category 1;1;3;12
6;22;35;4;2.194765113;4.333882967;0.476683231;category 1;1;3;12
7;39;44;4;2.115023014;8.529457944;0.250572569;category 1;1;3;12
8;29;44;4;1.983845042;5.684304878;0.226563233;category 3;1;3;12
9;31;15;4;1.971019759;6.055963988;0.295795951;category 2;1;3;12
10;34;45;4;1.88932893;6.813378178;0.240883441;category 3;1;3;12
11;24;43;4;1.343020343;1.870437624;0.637693924;nonpunctate;1;3;12
12;48;34;4;1.166388249;3.767950676;0.414557586;nonpunctate;1;3;12
13;42;23;4;1.114537;1.025795891;0.167211936;nonpunctate;1;3;12
14;51;19;4;1.037597835;3.959432576;0.613830359;nonpunctate;1;3;12
0;46;14;4;3.021473508;10.39370572;0.26477434;category 1;1;4;13
1;52;23;4;2.846494299;16.42359011;0.203046079;category 1;1;4;13
2;22;31;4;2.759268198;8.246781223;0.217983452;category 1;1;4;13
3;39;12;4;2.586024634;7.693927605;0.245473105;category 1;1;4;13
4;28;43;4;2.563122729;6.309340922;0.295520084;category 1;1;4;13
5;39;43;4;2.117753065;6.612169665;0.25190423;category 1;1;4;13
6;26;18;4;2.022831564;10.36643815;0.204667335;category 1;1;4;13
7;47;37;4;1.937535591;10.63579559;0.163229777;category 2;1;4;13
8;34;44;4;1.684059141;4.814818316;0.219296949;category 3;1;4;13
9;31;15;4;1.581107515;6.297077728;0.284012308;category 3;1;4;13
10;22;36;4;1.448360342;2.729354056;0.731341301;nonpunctate;1;4;13
11;44;42;4;1.25360639;5.487274138;0.377615417;nonpunctate;1;4;13
0;46;14;4;3.075369674;11.34181783;0.297840107;category 1;1;5;14
1;28;43;4;3.062693356;7.32440955;0.291286797;category 1;1;5;14
2;52;23;4;2.903746678;14.93501038;0.243985343;category 1;1;5;14
3;22;32;4;2.846764617;7.87003977;0.221324618;category 1;1;5;14
4;38;12;4;2.656451613;7.343518367;0.2448864;category 1;1;5;14
5;47;36;4;2.470085301;12.23023083;0.232458307;category 2;1;5;14
6;39;43;4;2.096952522;5.148209277;0.212384745;category 2;1;5;14
7;27;17;4;1.919078344;10.87144695;0.234269715;category 2;1;5;14
8;33;43;4;1.594421514;4.22084369;0.157477634;category 3;1;5;14
9;41;24;4;1.518589133;1.248834685;0.159541316;nonpunctate;1;5;14
10;32;14;4;1.398259815;5.425140132;0.247379506;category 3;1;5;14
11;25;22;4;1.373388842;4.881420794;0.454769316;nonpunctate;1;5;14
12;44;41;4;1.351350986;4.896119884;0.312420341;nonpunctate;1;5;14
13;23;37;4;1.12510237;2.221326479;0.645634311;nonpunctate;1;5;14
